class	variable	value
LTR/Solo	Histoplasma mississippiense SECH_87-CI_42	0
MITE/DTA	Histoplasma mississippiense SECH_87-CI_42	0
Satellite	Histoplasma mississippiense SECH_87-CI_42	0
DNA/DTA	Histoplasma mississippiense SECH_88-CI_43	1.6e-4
DNA/DTC	Histoplasma mississippiense SECH_88-CI_43	6.45e-4
DNA/DTH	Histoplasma mississippiense SECH_88-CI_43	0
DNA/DTM	Histoplasma mississippiense SECH_88-CI_43	7.43e-5
DNA/DTT	Histoplasma mississippiense SECH_88-CI_43	0
DNA/Helitron	Histoplasma mississippiense SECH_88-CI_43	6.51e-4
LINE/unknown	Histoplasma mississippiense SECH_88-CI_43	0.001430138
LTR/Copia	Histoplasma mississippiense SECH_88-CI_43	0
LTR/Gypsy	Histoplasma mississippiense SECH_88-CI_43	0.004072045
LTR/unknown	Histoplasma mississippiense SECH_88-CI_43	0.0120228
Low_complexity	Histoplasma mississippiense SECH_88-CI_43	0.003652877
MITE/DTM	Histoplasma mississippiense SECH_88-CI_43	1.37e-4
Simple_repeat	Histoplasma mississippiense SECH_88-CI_43	0.015678285
TIR/Tc1_Mariner	Histoplasma mississippiense SECH_88-CI_43	0
Unknown	Histoplasma mississippiense SECH_88-CI_43	0.028850467
MITE/DTC	Histoplasma mississippiense SECH_88-CI_43	1.81e-5
MITE/DTH	Histoplasma mississippiense SECH_88-CI_43	0
MITE/DTT	Histoplasma mississippiense SECH_88-CI_43	0
LTR/TRIM	Histoplasma mississippiense SECH_88-CI_43	0
TIR/PiggyBac	Histoplasma mississippiense SECH_88-CI_43	4.61e-4
LTR/Copia_1	Histoplasma mississippiense SECH_88-CI_43	0
LTR/Copia_2	Histoplasma mississippiense SECH_88-CI_43	0
LTR/Copia_4	Histoplasma mississippiense SECH_88-CI_43	0
LTR/Gypsy_1	Histoplasma mississippiense SECH_88-CI_43	0
LTR/Gypsy_2	Histoplasma mississippiense SECH_88-CI_43	0
LTR/Gypsy_3	Histoplasma mississippiense SECH_88-CI_43	0
DNAauto/Helitron	Histoplasma mississippiense SECH_88-CI_43	0
DNAnona/Helitron	Histoplasma mississippiense SECH_88-CI_43	0
LTR/Solo	Histoplasma mississippiense SECH_88-CI_43	0
MITE/DTA	Histoplasma mississippiense SECH_88-CI_43	0
Satellite	Histoplasma mississippiense SECH_88-CI_43	0
DNA/DTA	Histoplasma mississippiense SECH_89-UCLA-531	1.64e-4
DNA/DTC	Histoplasma mississippiense SECH_89-UCLA-531	6.58e-4
DNA/DTH	Histoplasma mississippiense SECH_89-UCLA-531	4.99e-4
DNA/DTM	Histoplasma mississippiense SECH_89-UCLA-531	7.58e-5
DNA/DTT	Histoplasma mississippiense SECH_89-UCLA-531	0
DNA/Helitron	Histoplasma mississippiense SECH_89-UCLA-531	6.64e-4
LINE/unknown	Histoplasma mississippiense SECH_89-UCLA-531	0.001459106
LTR/Copia	Histoplasma mississippiense SECH_89-UCLA-531	0
LTR/Gypsy	Histoplasma mississippiense SECH_89-UCLA-531	0.004154525
LTR/unknown	Histoplasma mississippiense SECH_89-UCLA-531	0.012266324
Low_complexity	Histoplasma mississippiense SECH_89-UCLA-531	0.003726867
MITE/DTM	Histoplasma mississippiense SECH_89-UCLA-531	2.37e-5
Simple_repeat	Histoplasma mississippiense SECH_89-UCLA-531	0.015995852
TIR/Tc1_Mariner	Histoplasma mississippiense SECH_89-UCLA-531	0
Unknown	Histoplasma mississippiense SECH_89-UCLA-531	0.02943484
MITE/DTC	Histoplasma mississippiense SECH_89-UCLA-531	1.85e-5
MITE/DTH	Histoplasma mississippiense SECH_89-UCLA-531	0
MITE/DTT	Histoplasma mississippiense SECH_89-UCLA-531	0
LTR/TRIM	Histoplasma mississippiense SECH_89-UCLA-531	0
TIR/PiggyBac	Histoplasma mississippiense SECH_89-UCLA-531	4.7e-4
LTR/Copia_1	Histoplasma mississippiense SECH_89-UCLA-531	0
LTR/Copia_2	Histoplasma mississippiense SECH_89-UCLA-531	0
LTR/Copia_4	Histoplasma mississippiense SECH_89-UCLA-531	0
LTR/Gypsy_1	Histoplasma mississippiense SECH_89-UCLA-531	0
LTR/Gypsy_2	Histoplasma mississippiense SECH_89-UCLA-531	0
LTR/Gypsy_3	Histoplasma mississippiense SECH_89-UCLA-531	0
DNAauto/Helitron	Histoplasma mississippiense SECH_89-UCLA-531	0
DNAnona/Helitron	Histoplasma mississippiense SECH_89-UCLA-531	0
LTR/Solo	Histoplasma mississippiense SECH_89-UCLA-531	0
MITE/DTA	Histoplasma mississippiense SECH_89-UCLA-531	0
Satellite	Histoplasma mississippiense SECH_89-UCLA-531	0
DNA/DTA	Histoplasma mississippiense SECH_90-DOWNS	1.62e-4
DNA/DTC	Histoplasma mississippiense SECH_90-DOWNS	2.87e-4
DNA/DTH	Histoplasma mississippiense SECH_90-DOWNS	4.28e-4
DNA/DTM	Histoplasma mississippiense SECH_90-DOWNS	1.26e-4
DNA/DTT	Histoplasma mississippiense SECH_90-DOWNS	0
DNA/Helitron	Histoplasma mississippiense SECH_90-DOWNS	1.22e-4
LINE/unknown	Histoplasma mississippiense SECH_90-DOWNS	0.002674949
LTR/Copia	Histoplasma mississippiense SECH_90-DOWNS	5.7e-4
LTR/Gypsy	Histoplasma mississippiense SECH_90-DOWNS	0.003150041
LTR/unknown	Histoplasma mississippiense SECH_90-DOWNS	0.011545966
Low_complexity	Histoplasma mississippiense SECH_90-DOWNS	0.003520412
MITE/DTM	Histoplasma mississippiense SECH_90-DOWNS	3.9e-5
Simple_repeat	Histoplasma mississippiense SECH_90-DOWNS	0.015397837
TIR/Tc1_Mariner	Histoplasma mississippiense SECH_90-DOWNS	1.74e-4
Unknown	Histoplasma mississippiense SECH_90-DOWNS	0.030115628
MITE/DTC	Histoplasma mississippiense SECH_90-DOWNS	1.87e-5
MITE/DTH	Histoplasma mississippiense SECH_90-DOWNS	0
MITE/DTT	Histoplasma mississippiense SECH_90-DOWNS	0
LTR/TRIM	Histoplasma mississippiense SECH_90-DOWNS	0
TIR/PiggyBac	Histoplasma mississippiense SECH_90-DOWNS	0
LTR/Copia_1	Histoplasma mississippiense SECH_90-DOWNS	0
LTR/Copia_2	Histoplasma mississippiense SECH_90-DOWNS	0
LTR/Copia_4	Histoplasma mississippiense SECH_90-DOWNS	0
LTR/Gypsy_1	Histoplasma mississippiense SECH_90-DOWNS	0
LTR/Gypsy_2	Histoplasma mississippiense SECH_90-DOWNS	0
LTR/Gypsy_3	Histoplasma mississippiense SECH_90-DOWNS	0
DNAauto/Helitron	Histoplasma mississippiense SECH_90-DOWNS	0
DNAnona/Helitron	Histoplasma mississippiense SECH_90-DOWNS	0
LTR/Solo	Histoplasma mississippiense SECH_90-DOWNS	0
MITE/DTA	Histoplasma mississippiense SECH_90-DOWNS	0
Satellite	Histoplasma mississippiense SECH_90-DOWNS	0
DNA/DTA	Histoplasma ohiense SECH_82-CI_4	1.53e-4
DNA/DTC	Histoplasma ohiense SECH_82-CI_4	4.79e-4
DNA/DTH	Histoplasma ohiense SECH_82-CI_4	3.86e-4
DNA/DTM	Histoplasma ohiense SECH_82-CI_4	0.00529437
DNA/DTT	Histoplasma ohiense SECH_82-CI_4	4.04e-4
DNA/Helitron	Histoplasma ohiense SECH_82-CI_4	0.010053189
LINE/unknown	Histoplasma ohiense SECH_82-CI_4	0.025492458
LTR/Copia	Histoplasma ohiense SECH_82-CI_4	0.002849417
LTR/Gypsy	Histoplasma ohiense SECH_82-CI_4	0.006383639
LTR/unknown	Histoplasma ohiense SECH_82-CI_4	0.100407188
Low_complexity	Histoplasma ohiense SECH_82-CI_4	0.003092225
MITE/DTM	Histoplasma ohiense SECH_82-CI_4	1.89e-5
Simple_repeat	Histoplasma ohiense SECH_82-CI_4	0.01346999
TIR/Tc1_Mariner	Histoplasma ohiense SECH_82-CI_4	0
Unknown	Histoplasma ohiense SECH_82-CI_4	0.022721861
MITE/DTC	Histoplasma ohiense SECH_82-CI_4	1.96e-4
MITE/DTH	Histoplasma ohiense SECH_82-CI_4	0
MITE/DTT	Histoplasma ohiense SECH_82-CI_4	0
LTR/TRIM	Histoplasma ohiense SECH_82-CI_4	0
TIR/PiggyBac	Histoplasma ohiense SECH_82-CI_4	0
LTR/Copia_1	Histoplasma ohiense SECH_82-CI_4	0
LTR/Copia_2	Histoplasma ohiense SECH_82-CI_4	0
LTR/Copia_4	Histoplasma ohiense SECH_82-CI_4	0
LTR/Gypsy_1	Histoplasma ohiense SECH_82-CI_4	0
LTR/Gypsy_2	Histoplasma ohiense SECH_82-CI_4	0
LTR/Gypsy_3	Histoplasma ohiense SECH_82-CI_4	0
DNAauto/Helitron	Histoplasma ohiense SECH_82-CI_4	0
DNAnona/Helitron	Histoplasma ohiense SECH_82-CI_4	0
LTR/Solo	Histoplasma ohiense SECH_82-CI_4	0
MITE/DTA	Histoplasma ohiense SECH_82-CI_4	0
Satellite	Histoplasma ohiense SECH_82-CI_4	0
DNA/DTA	Histoplasma ohiense SECH_91-G217B	4.2e-4
DNA/DTC	Histoplasma ohiense SECH_91-G217B	0.001138177
DNA/DTH	Histoplasma ohiense SECH_91-G217B	1.85e-4
DNA/DTM	Histoplasma ohiense SECH_91-G217B	0.001684175
DNA/DTT	Histoplasma ohiense SECH_91-G217B	2.42e-4
DNA/Helitron	Histoplasma ohiense SECH_91-G217B	0.037344809
LINE/unknown	Histoplasma ohiense SECH_91-G217B	0.030597979
LTR/Copia	Histoplasma ohiense SECH_91-G217B	0.002142471
LTR/Gypsy	Histoplasma ohiense SECH_91-G217B	0.017920634
LTR/unknown	Histoplasma ohiense SECH_91-G217B	0.074065308
Low_complexity	Histoplasma ohiense SECH_91-G217B	0.003215786
MITE/DTM	Histoplasma ohiense SECH_91-G217B	8.79e-6
Simple_repeat	Histoplasma ohiense SECH_91-G217B	0.013868445
TIR/Tc1_Mariner	Histoplasma ohiense SECH_91-G217B	0
Unknown	Histoplasma ohiense SECH_91-G217B	0.022547731
MITE/DTC	Histoplasma ohiense SECH_91-G217B	0
MITE/DTH	Histoplasma ohiense SECH_91-G217B	0
MITE/DTT	Histoplasma ohiense SECH_91-G217B	0
LTR/TRIM	Histoplasma ohiense SECH_91-G217B	0
TIR/PiggyBac	Histoplasma ohiense SECH_91-G217B	0
LTR/Copia_1	Histoplasma ohiense SECH_91-G217B	0
LTR/Copia_2	Histoplasma ohiense SECH_91-G217B	0
LTR/Copia_4	Histoplasma ohiense SECH_91-G217B	0
LTR/Gypsy_1	Histoplasma ohiense SECH_91-G217B	0
LTR/Gypsy_2	Histoplasma ohiense SECH_91-G217B	0
LTR/Gypsy_3	Histoplasma ohiense SECH_91-G217B	0
DNAauto/Helitron	Histoplasma ohiense SECH_91-G217B	0
DNAnona/Helitron	Histoplasma ohiense SECH_91-G217B	0
LTR/Solo	Histoplasma ohiense SECH_91-G217B	0
MITE/DTA	Histoplasma ohiense SECH_91-G217B	0
Satellite	Histoplasma ohiense SECH_91-G217B	0
DNA/DTA	Histoplasma ohiense SECH_92-G222B	3.84e-4
DNA/DTC	Histoplasma ohiense SECH_92-G222B	0.001254736
DNA/DTH	Histoplasma ohiense SECH_92-G222B	1.65e-4
DNA/DTM	Histoplasma ohiense SECH_92-G222B	0.015334596
DNA/DTT	Histoplasma ohiense SECH_92-G222B	2.39e-4
DNA/Helitron	Histoplasma ohiense SECH_92-G222B	0.028796333
LINE/unknown	Histoplasma ohiense SECH_92-G222B	0
LTR/Copia	Histoplasma ohiense SECH_92-G222B	0.002321851
LTR/Gypsy	Histoplasma ohiense SECH_92-G222B	0.034721222
LTR/unknown	Histoplasma ohiense SECH_92-G222B	0.068290949
Low_complexity	Histoplasma ohiense SECH_92-G222B	0.003164066
MITE/DTM	Histoplasma ohiense SECH_92-G222B	8.84e-6
Simple_repeat	Histoplasma ohiense SECH_92-G222B	0.013651415
TIR/Tc1_Mariner	Histoplasma ohiense SECH_92-G222B	2.52e-4
Unknown	Histoplasma ohiense SECH_92-G222B	0.046629571
MITE/DTC	Histoplasma ohiense SECH_92-G222B	1.39e-5
MITE/DTH	Histoplasma ohiense SECH_92-G222B	0
MITE/DTT	Histoplasma ohiense SECH_92-G222B	0
LTR/TRIM	Histoplasma ohiense SECH_92-G222B	0
TIR/PiggyBac	Histoplasma ohiense SECH_92-G222B	0
LTR/Copia_1	Histoplasma ohiense SECH_92-G222B	0
LTR/Copia_2	Histoplasma ohiense SECH_92-G222B	0
LTR/Copia_4	Histoplasma ohiense SECH_92-G222B	0
LTR/Gypsy_1	Histoplasma ohiense SECH_92-G222B	0
LTR/Gypsy_2	Histoplasma ohiense SECH_92-G222B	0
LTR/Gypsy_3	Histoplasma ohiense SECH_92-G222B	0
DNAauto/Helitron	Histoplasma ohiense SECH_92-G222B	0
DNAnona/Helitron	Histoplasma ohiense SECH_92-G222B	0
LTR/Solo	Histoplasma ohiense SECH_92-G222B	0
MITE/DTA	Histoplasma ohiense SECH_92-G222B	0
Satellite	Histoplasma ohiense SECH_92-G222B	0
DNA/DTA	Histoplasma ohiense SECH_93-CI_6	0
DNA/DTC	Histoplasma ohiense SECH_93-CI_6	1.72e-4
DNA/DTH	Histoplasma ohiense SECH_93-CI_6	4.79e-4
DNA/DTM	Histoplasma ohiense SECH_93-CI_6	0.004901494
DNA/DTT	Histoplasma ohiense SECH_93-CI_6	0
DNA/Helitron	Histoplasma ohiense SECH_93-CI_6	0.004713259
LINE/unknown	Histoplasma ohiense SECH_93-CI_6	0.030105696
LTR/Copia	Histoplasma ohiense SECH_93-CI_6	0.002052731
LTR/Gypsy	Histoplasma ohiense SECH_93-CI_6	0.049327421
LTR/unknown	Histoplasma ohiense SECH_93-CI_6	0.022174648
Low_complexity	Histoplasma ohiense SECH_93-CI_6	0.003325586
MITE/DTM	Histoplasma ohiense SECH_93-CI_6	1.11e-5
Simple_repeat	Histoplasma ohiense SECH_93-CI_6	0.015907853
TIR/Tc1_Mariner	Histoplasma ohiense SECH_93-CI_6	4.62e-4
Unknown	Histoplasma ohiense SECH_93-CI_6	0.033144892
MITE/DTC	Histoplasma ohiense SECH_93-CI_6	0
MITE/DTH	Histoplasma ohiense SECH_93-CI_6	0
MITE/DTT	Histoplasma ohiense SECH_93-CI_6	0
LTR/TRIM	Histoplasma ohiense SECH_93-CI_6	0
TIR/PiggyBac	Histoplasma ohiense SECH_93-CI_6	0
LTR/Copia_1	Histoplasma ohiense SECH_93-CI_6	0
LTR/Copia_2	Histoplasma ohiense SECH_93-CI_6	0
LTR/Copia_4	Histoplasma ohiense SECH_93-CI_6	0
LTR/Gypsy_1	Histoplasma ohiense SECH_93-CI_6	0
LTR/Gypsy_2	Histoplasma ohiense SECH_93-CI_6	0
LTR/Gypsy_3	Histoplasma ohiense SECH_93-CI_6	0
DNAauto/Helitron	Histoplasma ohiense SECH_93-CI_6	0
DNAnona/Helitron	Histoplasma ohiense SECH_93-CI_6	0
LTR/Solo	Histoplasma ohiense SECH_93-CI_6	0
MITE/DTA	Histoplasma ohiense SECH_93-CI_6	0
Satellite	Histoplasma ohiense SECH_93-CI_6	0
DNA/DTA	Histoplasma ohiense SECH_94-CI_9	0.009232143
DNA/DTC	Histoplasma ohiense SECH_94-CI_9	0.001504571
DNA/DTH	Histoplasma ohiense SECH_94-CI_9	2.56e-4
DNA/DTM	Histoplasma ohiense SECH_94-CI_9	0.004591112
DNA/DTT	Histoplasma ohiense SECH_94-CI_9	1.45e-4
DNA/Helitron	Histoplasma ohiense SECH_94-CI_9	0.011561752
LINE/unknown	Histoplasma ohiense SECH_94-CI_9	0.030637118
LTR/Copia	Histoplasma ohiense SECH_94-CI_9	0.001609252
LTR/Gypsy	Histoplasma ohiense SECH_94-CI_9	0.019884687
LTR/unknown	Histoplasma ohiense SECH_94-CI_9	0.038434081
Low_complexity	Histoplasma ohiense SECH_94-CI_9	0.003406266
MITE/DTM	Histoplasma ohiense SECH_94-CI_9	1.86e-5
Simple_repeat	Histoplasma ohiense SECH_94-CI_9	0.016162947
TIR/Tc1_Mariner	Histoplasma ohiense SECH_94-CI_9	0
Unknown	Histoplasma ohiense SECH_94-CI_9	0.030926892
MITE/DTC	Histoplasma ohiense SECH_94-CI_9	1.72e-4
MITE/DTH	Histoplasma ohiense SECH_94-CI_9	0
MITE/DTT	Histoplasma ohiense SECH_94-CI_9	0
LTR/TRIM	Histoplasma ohiense SECH_94-CI_9	0
TIR/PiggyBac	Histoplasma ohiense SECH_94-CI_9	0
LTR/Copia_1	Histoplasma ohiense SECH_94-CI_9	0
LTR/Copia_2	Histoplasma ohiense SECH_94-CI_9	0
LTR/Copia_4	Histoplasma ohiense SECH_94-CI_9	0
LTR/Gypsy_1	Histoplasma ohiense SECH_94-CI_9	0
LTR/Gypsy_2	Histoplasma ohiense SECH_94-CI_9	0
LTR/Gypsy_3	Histoplasma ohiense SECH_94-CI_9	0
DNAauto/Helitron	Histoplasma ohiense SECH_94-CI_9	0
DNAnona/Helitron	Histoplasma ohiense SECH_94-CI_9	0
LTR/Solo	Histoplasma ohiense SECH_94-CI_9	0
MITE/DTA	Histoplasma ohiense SECH_94-CI_9	0
Satellite	Histoplasma ohiense SECH_94-CI_9	0
DNA/DTA	Histoplasma ohiense SECH_95-CI_10	0
DNA/DTC	Histoplasma ohiense SECH_95-CI_10	5.31e-4
DNA/DTH	Histoplasma ohiense SECH_95-CI_10	1.58e-4
DNA/DTM	Histoplasma ohiense SECH_95-CI_10	0.007266818
DNA/DTT	Histoplasma ohiense SECH_95-CI_10	4.57e-4
DNA/Helitron	Histoplasma ohiense SECH_95-CI_10	0.003419126
LINE/unknown	Histoplasma ohiense SECH_95-CI_10	0.030411538
LTR/Copia	Histoplasma ohiense SECH_95-CI_10	0.002994832
LTR/Gypsy	Histoplasma ohiense SECH_95-CI_10	0.015211159
LTR/unknown	Histoplasma ohiense SECH_95-CI_10	0.036782415
Low_complexity	Histoplasma ohiense SECH_95-CI_10	0.003281771
MITE/DTM	Histoplasma ohiense SECH_95-CI_10	3.42e-4
Simple_repeat	Histoplasma ohiense SECH_95-CI_10	0.015099049
TIR/Tc1_Mariner	Histoplasma ohiense SECH_95-CI_10	0
Unknown	Histoplasma ohiense SECH_95-CI_10	0.03147337
MITE/DTC	Histoplasma ohiense SECH_95-CI_10	0
MITE/DTH	Histoplasma ohiense SECH_95-CI_10	0
MITE/DTT	Histoplasma ohiense SECH_95-CI_10	0
LTR/TRIM	Histoplasma ohiense SECH_95-CI_10	0
TIR/PiggyBac	Histoplasma ohiense SECH_95-CI_10	0
LTR/Copia_1	Histoplasma ohiense SECH_95-CI_10	0
LTR/Copia_2	Histoplasma ohiense SECH_95-CI_10	0
LTR/Copia_4	Histoplasma ohiense SECH_95-CI_10	0
LTR/Gypsy_1	Histoplasma ohiense SECH_95-CI_10	0
LTR/Gypsy_2	Histoplasma ohiense SECH_95-CI_10	0
LTR/Gypsy_3	Histoplasma ohiense SECH_95-CI_10	0
DNAauto/Helitron	Histoplasma ohiense SECH_95-CI_10	0
DNAnona/Helitron	Histoplasma ohiense SECH_95-CI_10	0
LTR/Solo	Histoplasma ohiense SECH_95-CI_10	0
MITE/DTA	Histoplasma ohiense SECH_95-CI_10	0
Satellite	Histoplasma ohiense SECH_95-CI_10	0
DNA/DTA	Histoplasma ohiense SECH_96-CI_17	0
DNA/DTC	Histoplasma ohiense SECH_96-CI_17	0.002486949
DNA/DTH	Histoplasma ohiense SECH_96-CI_17	4.48e-4
DNA/DTM	Histoplasma ohiense SECH_96-CI_17	0
DNA/DTT	Histoplasma ohiense SECH_96-CI_17	4.24e-4
DNA/Helitron	Histoplasma ohiense SECH_96-CI_17	0.008163221
LINE/unknown	Histoplasma ohiense SECH_96-CI_17	0.027666204
LTR/Copia	Histoplasma ohiense SECH_96-CI_17	0.002833096
LTR/Gypsy	Histoplasma ohiense SECH_96-CI_17	0.025787707
LTR/unknown	Histoplasma ohiense SECH_96-CI_17	0.07773383
Low_complexity	Histoplasma ohiense SECH_96-CI_17	0.003302943
MITE/DTM	Histoplasma ohiense SECH_96-CI_17	1.01e-5
Simple_repeat	Histoplasma ohiense SECH_96-CI_17	0.014862179
TIR/Tc1_Mariner	Histoplasma ohiense SECH_96-CI_17	6.27e-4
Unknown	Histoplasma ohiense SECH_96-CI_17	0.022567024
MITE/DTC	Histoplasma ohiense SECH_96-CI_17	0
MITE/DTH	Histoplasma ohiense SECH_96-CI_17	0
MITE/DTT	Histoplasma ohiense SECH_96-CI_17	0
LTR/TRIM	Histoplasma ohiense SECH_96-CI_17	0
TIR/PiggyBac	Histoplasma ohiense SECH_96-CI_17	0
LTR/Copia_1	Histoplasma ohiense SECH_96-CI_17	0
LTR/Copia_2	Histoplasma ohiense SECH_96-CI_17	0
LTR/Copia_4	Histoplasma ohiense SECH_96-CI_17	0
LTR/Gypsy_1	Histoplasma ohiense SECH_96-CI_17	0
LTR/Gypsy_2	Histoplasma ohiense SECH_96-CI_17	0
LTR/Gypsy_3	Histoplasma ohiense SECH_96-CI_17	0
DNAauto/Helitron	Histoplasma ohiense SECH_96-CI_17	0
DNAnona/Helitron	Histoplasma ohiense SECH_96-CI_17	0
LTR/Solo	Histoplasma ohiense SECH_96-CI_17	0
MITE/DTA	Histoplasma ohiense SECH_96-CI_17	0
Satellite	Histoplasma ohiense SECH_96-CI_17	0
DNA/DTA	Histoplasma ohiense SECH_97-CI_18	0
DNA/DTC	Histoplasma ohiense SECH_97-CI_18	0.003543551
DNA/DTH	Histoplasma ohiense SECH_97-CI_18	1.7e-4
DNA/DTM	Histoplasma ohiense SECH_97-CI_18	3.25e-4
DNA/DTT	Histoplasma ohiense SECH_97-CI_18	1.04e-4
DNA/Helitron	Histoplasma ohiense SECH_97-CI_18	0.002506459
LINE/unknown	Histoplasma ohiense SECH_97-CI_18	0.026892275
LTR/Copia	Histoplasma ohiense SECH_97-CI_18	0
LTR/Gypsy	Histoplasma ohiense SECH_97-CI_18	0.069723382
LTR/unknown	Histoplasma ohiense SECH_97-CI_18	0.032412699
Low_complexity	Histoplasma ohiense SECH_97-CI_18	0.003146308
MITE/DTM	Histoplasma ohiense SECH_97-CI_18	9.31e-6
Simple_repeat	Histoplasma ohiense SECH_97-CI_18	0.01463086
TIR/Tc1_Mariner	Histoplasma ohiense SECH_97-CI_18	0
Unknown	Histoplasma ohiense SECH_97-CI_18	0.030104437
MITE/DTC	Histoplasma ohiense SECH_97-CI_18	1.59e-4
MITE/DTH	Histoplasma ohiense SECH_97-CI_18	0
MITE/DTT	Histoplasma ohiense SECH_97-CI_18	0
LTR/TRIM	Histoplasma ohiense SECH_97-CI_18	0
TIR/PiggyBac	Histoplasma ohiense SECH_97-CI_18	0
LTR/Copia_1	Histoplasma ohiense SECH_97-CI_18	0
LTR/Copia_2	Histoplasma ohiense SECH_97-CI_18	0
LTR/Copia_4	Histoplasma ohiense SECH_97-CI_18	0
LTR/Gypsy_1	Histoplasma ohiense SECH_97-CI_18	0
LTR/Gypsy_2	Histoplasma ohiense SECH_97-CI_18	0
LTR/Gypsy_3	Histoplasma ohiense SECH_97-CI_18	0
DNAauto/Helitron	Histoplasma ohiense SECH_97-CI_18	0
DNAnona/Helitron	Histoplasma ohiense SECH_97-CI_18	0
LTR/Solo	Histoplasma ohiense SECH_97-CI_18	0
MITE/DTA	Histoplasma ohiense SECH_97-CI_18	0
Satellite	Histoplasma ohiense SECH_97-CI_18	0
DNA/DTA	Histoplasma ohiense SECH_98-CI_30	0
DNA/DTC	Histoplasma ohiense SECH_98-CI_30	5.92e-4
DNA/DTH	Histoplasma ohiense SECH_98-CI_30	1.73e-4
DNA/DTM	Histoplasma ohiense SECH_98-CI_30	1.93e-4
DNA/DTT	Histoplasma ohiense SECH_98-CI_30	4.92e-4
DNA/Helitron	Histoplasma ohiense SECH_98-CI_30	0.006351447
LINE/unknown	Histoplasma ohiense SECH_98-CI_30	0.024923225
LTR/Copia	Histoplasma ohiense SECH_98-CI_30	1.81e-5
LTR/Gypsy	Histoplasma ohiense SECH_98-CI_30	0.012806605
LTR/unknown	Histoplasma ohiense SECH_98-CI_30	0.051372338
Low_complexity	Histoplasma ohiense SECH_98-CI_30	0.003351734
MITE/DTM	Histoplasma ohiense SECH_98-CI_30	0
Simple_repeat	Histoplasma ohiense SECH_98-CI_30	0.016042963
TIR/Tc1_Mariner	Histoplasma ohiense SECH_98-CI_30	0
Unknown	Histoplasma ohiense SECH_98-CI_30	0.034011196
MITE/DTC	Histoplasma ohiense SECH_98-CI_30	1.74e-5
MITE/DTH	Histoplasma ohiense SECH_98-CI_30	0
MITE/DTT	Histoplasma ohiense SECH_98-CI_30	0
LTR/TRIM	Histoplasma ohiense SECH_98-CI_30	0
TIR/PiggyBac	Histoplasma ohiense SECH_98-CI_30	0
LTR/Copia_1	Histoplasma ohiense SECH_98-CI_30	0
LTR/Copia_2	Histoplasma ohiense SECH_98-CI_30	0
LTR/Copia_4	Histoplasma ohiense SECH_98-CI_30	0
LTR/Gypsy_1	Histoplasma ohiense SECH_98-CI_30	0
LTR/Gypsy_2	Histoplasma ohiense SECH_98-CI_30	0
LTR/Gypsy_3	Histoplasma ohiense SECH_98-CI_30	0
DNAauto/Helitron	Histoplasma ohiense SECH_98-CI_30	0
DNAnona/Helitron	Histoplasma ohiense SECH_98-CI_30	0
LTR/Solo	Histoplasma ohiense SECH_98-CI_30	0
MITE/DTA	Histoplasma ohiense SECH_98-CI_30	0
Satellite	Histoplasma ohiense SECH_98-CI_30	0
DNA/DTA	Histoplasma ohiense SECH_99-CI_35	0
DNA/DTC	Histoplasma ohiense SECH_99-CI_35	0.005536851
DNA/DTH	Histoplasma ohiense SECH_99-CI_35	1.69e-4
DNA/DTM	Histoplasma ohiense SECH_99-CI_35	6.91e-5
DNA/DTT	Histoplasma ohiense SECH_99-CI_35	4.8e-4
DNA/Helitron	Histoplasma ohiense SECH_99-CI_35	0.005315601
LINE/unknown	Histoplasma ohiense SECH_99-CI_35	0.01767422
LTR/Copia	Histoplasma ohiense SECH_99-CI_35	2.51e-4
LTR/Gypsy	Histoplasma ohiense SECH_99-CI_35	0.052580634
LTR/unknown	Histoplasma ohiense SECH_99-CI_35	0.030750759
Low_complexity	Histoplasma ohiense SECH_99-CI_35	0.003107059
MITE/DTM	Histoplasma ohiense SECH_99-CI_35	2.85e-4
Simple_repeat	Histoplasma ohiense SECH_99-CI_35	0.014276296
TIR/Tc1_Mariner	Histoplasma ohiense SECH_99-CI_35	4.34e-4
Unknown	Histoplasma ohiense SECH_99-CI_35	0.019555602
MITE/DTC	Histoplasma ohiense SECH_99-CI_35	1.41e-5
MITE/DTH	Histoplasma ohiense SECH_99-CI_35	0
MITE/DTT	Histoplasma ohiense SECH_99-CI_35	0
LTR/TRIM	Histoplasma ohiense SECH_99-CI_35	0
TIR/PiggyBac	Histoplasma ohiense SECH_99-CI_35	0
LTR/Copia_1	Histoplasma ohiense SECH_99-CI_35	0
LTR/Copia_2	Histoplasma ohiense SECH_99-CI_35	0
LTR/Copia_4	Histoplasma ohiense SECH_99-CI_35	0
LTR/Gypsy_1	Histoplasma ohiense SECH_99-CI_35	0
LTR/Gypsy_2	Histoplasma ohiense SECH_99-CI_35	0
LTR/Gypsy_3	Histoplasma ohiense SECH_99-CI_35	0
DNAauto/Helitron	Histoplasma ohiense SECH_99-CI_35	0
DNAnona/Helitron	Histoplasma ohiense SECH_99-CI_35	0
LTR/Solo	Histoplasma ohiense SECH_99-CI_35	0
MITE/DTA	Histoplasma ohiense SECH_99-CI_35	0
Satellite	Histoplasma ohiense SECH_99-CI_35	0
DNA/DTA	Histoplasma capsulatum HCH143	1.14e-4
DNA/DTC	Histoplasma capsulatum HCH143	6.7e-5
DNA/DTH	Histoplasma capsulatum HCH143	0
